"Ticker","Nome","Negócios","Última (R$)","Variação"
"CTSA4","Santanense","13.600","1,51","-1,31%"
"SCAR3","São Carlos","13.000","26,60","-1,08%"
"BEES3","Banestes","12.800","8,85","-1,99%"
"CGRA4","Grazziotin","12.100","27,97","+0,97%"
"UCAS3","Unicasa","11.400","2,65","+0,00%"
"FRTA3","Pomi Frutas","11.000","1,44","+4,35%"
"BAHI3","Bahema","10.900","8,58","+8,06%"
"EMAE4","EMAE","10.800","78,50","-1,00%"
"OFSA3","Ourofino Saúde Animal","10.200","23,99","+0,54%"
"COCE5","Coelce","10.000","34,57","-2,59%"
"TASA3","Taurus","10.000","13,64","-1,09%"
"NINJ3","GetNinjas","9.500","5,11","-0,20%"
"EQPA3","Equatorial Energia Pará","9.100","7,93","+0,00%"
"OSXB3","OSX Brasil","8.500","4,24","-2,75%"
"BMEB4","Banco Mercantil do Brasil","8.200","23,00","+0,31%"
"ENGI3","Energisa","8.200","15,06","-4,26%"
"SNSY5","Sansuy","6.200","6,44","+1,58%"
"CEBR6","CEB","5.900","21,86","+1,20%"
"RDNI3","RNI","5.600","3,75","+0,54%"
"BRSR3","Banrisul","5.300","13,27","-0,97%"
"CTSA3","Santanense","5.300","2,86","-2,39%"
"TRPL3","Transmissão Paulista","5.100","33,51","+2,10%"
"BOBR4","Bombril","5.100","2,15","+0,00%"
"BPAC3","Banco BTG Pactual","4.300","17,34","-3,45%"
"FHER3","Fertilizantes Heringer","4.200","5,38","-1,47%"
"ESTR4","Estrela","4.100","2,10","-4,98%"
"BRKM3","Braskem","3.600","23,79","-1,08%"
"ATMP3","Atma","3.000","1,93","+0,00%"
"SNSY3","Sansuy","2.900","11,07","+2,50%"
"PLAS3","Plascar","2.600","7,56","-10,95%"
"CEBR5","CEB","2.400","19,96","+1,06%"
"REDE3","Rede Energia","2.400","6,97","+0,00%"
"BEES4","Banestes","2.300","9,70","-0,41%"
"HAGA4","Haga","2.200","1,16","+0,00%"
"CEBR3","CEB","2.000","21,54","-0,69%"
"BAZA3","Banco da Amazônia","1.900","106,48","+0,45%"
"PEAB4","Participações Aliança da Bahia","1.900","47,11","+0,45%"
